,Unnamed: 0,size,isEmpty,calledMethod,size_p,isEmpty_p,calledMethod_p,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,0,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""CTOR""",0,,2,"['8', '9']",0,
1,1,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""CTOR""",0,,2,"['1', '2']",0,
2,2,"size == ""2.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,0,,0,
3,3,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,18,"['1', '2', '5', '6', '7', '11', '12', '13', '25', '26', '27', '28', '29', '30', '33', '34', '35', '38']",0,
4,5,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,18,"['8', '9', '12', '13', '19', '20', '21', '22', '25', '26', '27', '28', '29', '30', '33', '34', '35', '36']",0,
5,6,"size == ""2.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""CTOR""",0,,0,,0,
6,7,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""pop""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,11,"['12', '13', '25', '26', '27', '28', '29', '30', '33', '34', '35']",0,
7,8,"size == ""2.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""pop""",0,,0,,0,
8,10,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""pop""",0,,4,"['1', '2', '23', '24']",0,
9,15,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,2,"['8', '9']",0,
10,19,"size == ""3.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,1,['31'],0,
11,20,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,18,"['8', '9', '12', '13', '19', '20', '21', '22', '25', '26', '27', '28', '29', '30', '33', '34', '35', '36']",0,
12,23,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""pop""",0,,4,"['8', '9', '23', '24']",0,
13,34,"size == ""2.0""","isEmpty == ""false""","calledMethod == ""pop""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,1,['31'],0,
14,35,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,13,"['1', '2', '5', '6', '7', '11', '23', '24', '34', '35', '38', '39', '40']",0,
15,52,"size == ""3.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,0,,0,
16,53,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,18,"['1', '2', '5', '6', '7', '11', '12', '13', '25', '26', '27', '28', '29', '30', '33', '34', '35', '38']",0,
17,54,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,2,"['1', '2']",0,
18,74,"size == ""4.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,1,['31'],0,
19,75,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,18,"['8', '9', '12', '13', '19', '20', '21', '22', '25', '26', '27', '28', '29', '30', '33', '34', '35', '36']",0,
20,115,"size == ""3.0""","isEmpty == ""false""","calledMethod == ""pop""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,1,['31'],0,
21,116,"size == ""4.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,0,,0,
22,118,"size == ""2.0""","isEmpty == ""false""","calledMethod == ""pop""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,0,,0,
23,121,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""pop""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,0,,0,
24,162,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,18,"['1', '2', '5', '6', '7', '11', '12', '13', '25', '26', '27', '28', '29', '30', '33', '34', '35', '38']",0,
25,180,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,13,"['8', '9', '19', '20', '21', '22', '23', '24', '34', '35', '36', '39', '40']",0,
26,232,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""3""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,13,"['1', '2', '5', '6', '7', '11', '23', '24', '34', '35', '38', '39', '40']",0,
27,266,"size == ""5.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,1,['31'],0,
28,267,"size == ""6.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""5""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,1,['31'],0,
29,268,"size == ""5.0""","isEmpty == ""false""","calledMethod == ""pop""","size_p == ""6""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,1,['31'],0,
30,269,"size == ""4.0""","isEmpty == ""false""","calledMethod == ""pop""","size_p == ""5""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,0,,0,
31,270,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,13,"['8', '9', '19', '20', '21', '22', '23', '24', '34', '35', '36', '39', '40']",0,
32,416,"size == ""7.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""6""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,1,['31'],0,
33,417,"size == ""6.0""","isEmpty == ""false""","calledMethod == ""pop""","size_p == ""7""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,1,['31'],0,
34,418,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""6""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,13,"['8', '9', '19', '20', '21', '22', '23', '24', '34', '35', '36', '39', '40']",0,
35,433,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""pop""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""pop""",0,,2,"['23', '24']",0,
36,527,"size == ""4.0""","isEmpty == ""false""","calledMethod == ""pop""","size_p == ""5""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,1,['31'],0,
37,528,"size == ""5.0""","isEmpty == ""false""","calledMethod == ""push""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,0,,0,
38,529,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""5""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,18,"['8', '9', '12', '13', '19', '20', '21', '22', '25', '26', '27', '28', '29', '30', '33', '34', '35', '36']",0,
39,612,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""pop""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,6,"['23', '24', '34', '35', '39', '40']",0,
40,656,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""2""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,13,"['8', '9', '19', '20', '21', '22', '23', '24', '34', '35', '36', '39', '40']",0,
41,772,"size == ""3.0""","isEmpty == ""false""","calledMethod == ""pop""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,0,,0,
42,922,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""4""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,13,"['1', '2', '5', '6', '7', '11', '23', '24', '34', '35', '38', '39', '40']",0,
43,2845,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""5""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,18,"['1', '2', '5', '6', '7', '11', '12', '13', '25', '26', '27', '28', '29', '30', '33', '34', '35', '38']",0,
44,4968,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""5""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,13,"['8', '9', '19', '20', '21', '22', '23', '24', '34', '35', '36', '39', '40']",0,
45,5551,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""CTOR""","size_p == ""6""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,18,"['8', '9', '12', '13', '19', '20', '21', '22', '25', '26', '27', '28', '29', '30', '33', '34', '35', '36']",0,
46,16117,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""6""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,18,"['1', '2', '5', '6', '7', '11', '12', '13', '25', '26', '27', '28', '29', '30', '33', '34', '35', '38']",0,
47,18585,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""7""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,18,"['1', '2', '5', '6', '7', '11', '12', '13', '25', '26', '27', '28', '29', '30', '33', '34', '35', '38']",0,
48,35861,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""clear""","size_p == ""5""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,13,"['1', '2', '5', '6', '7', '11', '23', '24', '34', '35', '38', '39', '40']",0,
49,65484,"size == ""0.0""","isEmpty == ""true""","calledMethod == ""pop""","size_p == ""0""","isEmpty_p == ""True""","calledMethod_p == ""CTOR""",0,,0,,0,
